position	players	withId	withTeam
C	Carlos Narváez	Carlos Narváez (665966)	Carlos Narváez (Boston Red Sox)
1B	Bryce Harper	Bryce Harper (547180)	Bryce Harper (Philadelphia Phillies)
2B	Nico Hoerner	Nico Hoerner (663538)	Nico Hoerner (Chicago Cubs)
3B	Maikel Garcia	Maikel Garcia (672580)	Maikel Garcia (Kansas City Royals)
SS	Bobby Witt Jr.	Bobby Witt Jr. (677951)	Bobby Witt Jr. (Kansas City Royals)
MI	Willy Adames	Willy Adames (642715)	Willy Adames (San Francisco Giants)
CI	Jordan Westburg	Jordan Westburg (676059)	Jordan Westburg (Baltimore Orioles)
OF	Byron Buxton	Byron Buxton (621439)	Byron Buxton (Minnesota Twins)
OF	Evan Carter	Evan Carter (694497)	Evan Carter (Texas Rangers)
OF	Julio Rodríguez	Julio Rodríguez (677594)	Julio Rodríguez (Seattle Mariners)
OF	Kyle Schwarber	Kyle Schwarber (656941)	Kyle Schwarber (Philadelphia Phillies)
DH	Alejandro Kirk	Alejandro Kirk (672386)	Alejandro Kirk (Toronto Blue Jays)
DH	Gleyber Torres	Gleyber Torres (650402)	Gleyber Torres (Detroit Tigers)
DH	Jordan Beck	Jordan Beck (687597)	Jordan Beck (Colorado Rockies)
DH	Yainer Diaz	Yainer Diaz (673237)	Yainer Diaz (Houston Astros)
BAT BENCH	Alex Bregman	Alex Bregman (608324)	Alex Bregman (Boston Red Sox)
BAT BENCH	Kerry Carpenter	Kerry Carpenter (681481)	Kerry Carpenter (Detroit Tigers)
BAT BENCH	Royce Lewis	Royce Lewis (668904)	Royce Lewis (Minnesota Twins)
SP	Andrew Abbott	Andrew Abbott (671096)	Andrew Abbott (Cincinnati Reds)
SP	Carlos Rodón	Carlos Rodón (607074)	Carlos Rodón (New York Yankees)
SP	Chris Bassitt	Chris Bassitt (605135)	Chris Bassitt (Toronto Blue Jays)
SP	Jacob Misiorowski	Jacob Misiorowski (694819)	Jacob Misiorowski (Milwaukee Brewers)
SP	Matthew Liberatore	Matthew Liberatore (669461)	Matthew Liberatore (St. Louis Cardinals)
SP	Ryan Pepiot	Ryan Pepiot (686752)	Ryan Pepiot (Tampa Bay Rays)
RP	Edwin Díaz	Edwin Díaz (621242)	Edwin Díaz (New York Mets)
RP	Josh Hader	Josh Hader (623352)	Josh Hader (Houston Astros)
OP	Brandon Walter	Brandon Walter (687888)	Brandon Walter (Houston Astros)
OP	Eury Pérez	Eury Pérez (691587)	Eury Pérez (Miami Marlins)
OP	Brayan Bello	Brayan Bello (678394)	Brayan Bello (Boston Red Sox)
OP	Sandy Alcantara	Sandy Alcantara (645261)	Sandy Alcantara (Miami Marlins)
OP	Zac Gallen	Zac Gallen (668678)	Zac Gallen (Arizona Diamondbacks)
PITCH BENCH	Brandon Pfaadt	Brandon Pfaadt (694297)	Brandon Pfaadt (Arizona Diamondbacks)
PITCH BENCH	Cole Ragans	Cole Ragans (666142)	Cole Ragans (Kansas City Royals)
PITCH BENCH	Luis Gil	Luis Gil (661563)	Luis Gil (New York Yankees)
PITCH BENCH	Ryan Walker	Ryan Walker (676254)	Ryan Walker (San Francisco Giants)
