position	players	withId	withTeam
C	Shea Langeliers	Shea Langeliers (669127)	Shea Langeliers (Athletics)
1B	Alec Bohm	Alec Bohm (664761)	Alec Bohm (Philadelphia Phillies)
2B	Connor Norby	Connor Norby (681393)	Connor Norby (Miami Marlins)
3B	Austin Riley	Austin Riley (663586)	Austin Riley (Atlanta Braves)
SS	Zach Neto	Zach Neto (687263)	Zach Neto (Los Angeles Angels)
MI	Anthony Volpe	Anthony Volpe (683011)	Anthony Volpe (New York Yankees)
CI	Luis Arraez	Luis Arraez (650333)	Luis Arraez (San Diego Padres)
OF	Bryan Reynolds	Bryan Reynolds (668804)	Bryan Reynolds (Pittsburgh Pirates)
OF	Corbin Carroll	Corbin Carroll (682998)	Corbin Carroll (Arizona Diamondbacks)
OF	Mookie Betts	Mookie Betts (605141)	Mookie Betts (Los Angeles Dodgers)
OF	Jake Meyers	Jake Meyers (676694)	Jake Meyers (Houston Astros)
DH	Agustín Ramírez	Agustín Ramírez (682663)	Agustín Ramírez (Miami Marlins)
DH	Ryan McMahon	Ryan McMahon (641857)	Ryan McMahon (Colorado Rockies)
DH	Ezequiel Tovar	Ezequiel Tovar (678662)	Ezequiel Tovar (Colorado Rockies)
DH	Ben Rice	Ben Rice (700250)	Ben Rice (New York Yankees)
BAT BENCH	Mike Trout	Mike Trout (545361)	Mike Trout (Los Angeles Angels)
BAT BENCH	Tyler Fitzgerald	Tyler Fitzgerald (666149)	Tyler Fitzgerald (San Francisco Giants)
BAT BENCH	Marcus Semien	Marcus Semien (543760)	Marcus Semien (Texas Rangers)
BAT BENCH	Michael Conforto	Michael Conforto (624424)	Michael Conforto (Los Angeles Dodgers)
SP	Dylan Cease	Dylan Cease (656302)	Dylan Cease (San Diego Padres)
SP	Logan Webb	Logan Webb (657277)	Logan Webb (San Francisco Giants)
SP	Pablo López	Pablo López (641154)	Pablo López (Minnesota Twins)
SP	Ranger Suárez	Ranger Suárez (624133)	Ranger Suárez (Philadelphia Phillies)
SP	Tyler Anderson	Tyler Anderson (542881)	Tyler Anderson (Los Angeles Angels)
SP	George Kirby	George Kirby (669923)	George Kirby (Seattle Mariners)
RP	Aroldis Chapman	Aroldis Chapman (547973)	Aroldis Chapman (Boston Red Sox)
RP	Luke Weaver	Luke Weaver (596133)	Luke Weaver (New York Yankees)
OP	David Bednar	David Bednar (670280)	David Bednar (Pittsburgh Pirates)
OP	Landen Roupp	Landen Roupp (694738)	Landen Roupp (San Francisco Giants)
OP	Tylor Megill	Tylor Megill (656731)	Tylor Megill (New York Mets)
OP	Zach Eflin	Zach Eflin (621107)	Zach Eflin (Baltimore Orioles)
OP	Luis L. Ortiz	Luis L. Ortiz (682847)	Luis L. Ortiz (Cleveland Guardians)
PITCH BENCH	Brandon Woodruff	Brandon Woodruff (605540)	Brandon Woodruff (Milwaukee Brewers)
PITCH BENCH	Tanner Houck	Tanner Houck (656557)	Tanner Houck (Boston Red Sox)
PITCH BENCH	Yu Darvish	Yu Darvish (506433)	Yu Darvish (San Diego Padres)
