position	players	withId
C	Gary Sanchez	Gary Sanchez (596142)
1B	Rhys Hoskins	Rhys Hoskins (656555)
2B	Brendan Rodgers	Brendan Rodgers (663898)
3B	Ryan McMahon	Ryan McMahon (641857)
SS	Marcus Semien	Marcus Semien (543760)
MI	Gleyber Torres	Gleyber Torres (650402)
CI	Rowdy Tellez	Rowdy Tellez (642133)
OF	Cedric Mullins	Cedric Mullins (656775)
OF	Garrett Cooper	Garrett Cooper (643265)
OF	Mike Yastrzemski	Mike Yastrzemski (573262)
OF	Myles Straw	Myles Straw (664702)
DH	Andres Gimenez	Andres Gimenez (665926)
DH	Connor Joe	Connor Joe (656582)
DH	Teoscar Hernandez	Teoscar Hernandez (606192)
DH	Eduardo Escobar	Eduardo Escobar (500871)
BAT BENCH	Owen Miller	Owen Miller (680911)
BAT BENCH	Randal Grichuk	Randal Grichuk (545341)
BAT BENCH	Jose Miranda	Jose Miranda (669304)
SP	Chris Bassitt	Chris Bassitt (605135)
SP	Corbin Burnes	Corbin Burnes (669203)
SP	Logan Webb	Logan Webb (657277)
SP	Taijuan Walker	Taijuan Walker (592836)
SP	Tyler Wells	Tyler Wells (669330)
SP	Michael Wacha	Michael Wacha (608379)
RP	Mark Melancon	Mark Melancon (453343)
RP	Michael King	Michael King (650633)
OP	Hector Neris	Hector Neris (593576)
OP	Ryan Tepera	Ryan Tepera (572193)
OP	Tylor Megill	Tylor Megill (656731)
OP	Zach Plesac	Zach Plesac (668676)
OP	Rafael Montero	Rafael Montero (606160)
PITCH BENCH	Lucas Sims	Lucas Sims (608371)
PITCH BENCH	Luis Gil	Luis Gil (661563)
PITCH BENCH	Walker Buehler	Walker Buehler (621111)
