position	players	withId
C	Willson Contreras	Willson Contreras (575929)
1B	Ryan Mountcastle	Ryan Mountcastle (663624)
2B	Andres Gimenez	Andres Gimenez (665926)
3B	Rafael Devers	Rafael Devers (646240)
SS	Nico Hoerner	Nico Hoerner (663538)
MI	Tim Anderson	Tim Anderson (641313)
CI	Ke'Bryan Hayes	Ke'Bryan Hayes (663647)
OF	Brent Rooker	Brent Rooker (667670)
OF	Kyle Tucker	Kyle Tucker (663656)
OF	Randy Arozarena	Randy Arozarena (668227)
OF	Lane Thomas	Lane Thomas (657041)
DH	Jon Berti	Jon Berti (542932)
DH	Michael Harris II	Michael Harris II (671739)
DH	Connor Joe	Connor Joe (656582)
DH	Shea Langeliers	Shea Langeliers (669127)
BAT BENCH	Thairo Estrada	Thairo Estrada (642731)
BAT BENCH	Mike Trout	Mike Trout (545361)
BAT BENCH	Josh Rojas	Josh Rojas (668942)
SP	Joe Musgrove	Joe Musgrove (605397)
SP	Jon Gray	Jon Gray (592351)
SP	Logan Gilbert	Logan Gilbert (669302)
SP	Reid Detmers	Reid Detmers (672282)
SP	Taijuan Walker	Taijuan Walker (592836)
SP	Luis Severino	Luis Severino (622663)
RP	Carlos Estevez	Carlos Estevez (608032)
RP	David Bednar	David Bednar (670280)
OP	Adam Ottavino	Adam Ottavino (493603)
OP	Drey Jameson	Drey Jameson (686753)
OP	Julio Urias	Julio Urias (628711)
OP	Yennier Cano	Yennier Cano (666974)
OP	A.J. Minter	A.J. Minter (621345)
PITCH BENCH	Nick Lodolo	Nick Lodolo (666157)
PITCH BENCH	Tanner Houck	Tanner Houck (656557)
PITCH BENCH	Dustin May	Dustin May (669160)
