position	players	withId
C	Cal Raleigh	Cal Raleigh (663728)
1B	Bryce Harper	Bryce Harper (547180)
2B	Brice Turang	Brice Turang (668930)
3B	Nolan Arenado	Nolan Arenado (571448)
SS	Dansby Swanson	Dansby Swanson (621020)
MI	Nick Gonzales	Nick Gonzales (693304)
CI	Josh Naylor	Josh Naylor (647304)
OF	Jazz Chisholm Jr.	Jazz Chisholm Jr. (665862)
OF	Josh Lowe	Josh Lowe (666139)
OF	Kyle Schwarber	Kyle Schwarber (656941)
OF	Randy Arozarena	Randy Arozarena (668227)
DH	Joey Loperfido	Joey Loperfido (694388)
DH	Lane Thomas	Lane Thomas (657041)
DH	Patrick Bailey	Patrick Bailey (672275)
DH	Rhys Hoskins	Rhys Hoskins (656555)
BAT BENCH	Evan Carter	Evan Carter (694497)
BAT BENCH	Starling Marte	Starling Marte (516782)
SP	Cristopher Sánchez	Cristopher Sánchez (650911)
SP	Kutter Crawford	Kutter Crawford (676710)
SP	Shota Imanaga	Shota Imanaga (684007)
SP	Tanner Bibee	Tanner Bibee (676440)
SP	Tarik Skubal	Tarik Skubal (669373)
SP	Zack Wheeler	Zack Wheeler (554430)
RP	Kirby Yates	Kirby Yates (489446)
RP	Blake Treinen	Blake Treinen (595014)
OP	Christian Scott	Christian Scott (681035)
OP	Gerrit Cole	Gerrit Cole (543037)
OP	Héctor Neris	Héctor Neris (593576)
OP	Shane Baz	Shane Baz (669358)
OP	Zack Littell	Zack Littell (641793)
PITCH BENCH	Casey Mize	Casey Mize (663554)
PITCH BENCH	Merrill Kelly	Merrill Kelly (518876)
PITCH BENCH	Ryne Stanek	Ryne Stanek (592773)
