position	players	withId
C	Gary Sanchez	Gary Sanchez (596142)
1B	Rhys Hoskins	Rhys Hoskins (656555)
2B	Brendan Rodgers	Brendan Rodgers (663898)
3B	Ryan McMahon	Ryan McMahon (641857)
SS	Andres Gimenez	Andres Gimenez (665926)
MI	Gleyber Torres	Gleyber Torres (650402)
CI	Rowdy Tellez	Rowdy Tellez (642133)
OF	Cedric Mullins	Cedric Mullins (656775)
OF	Garrett Cooper	Garrett Cooper (643265)
OF	Myles Straw	Myles Straw (664702)
OF	Randal Grichuk	Randal Grichuk (545341)
DH	Connor Joe	Connor Joe (656582)
DH	Owen Miller	Owen Miller (680911)
DH	Teoscar Hernandez	Teoscar Hernandez (606192)
DH	Mike Yastrzemski	Mike Yastrzemski (573262)
BAT BENCH	Jose Miranda	Jose Miranda (669304)
BAT BENCH	Marcus Semien	Marcus Semien (543760)
BAT BENCH	Eduardo Escobar	Eduardo Escobar (500871)
SP	Chris Bassitt	Chris Bassitt (605135)
SP	Corbin Burnes	Corbin Burnes (669203)
SP	Logan Webb	Logan Webb (657277)
SP	Taijuan Walker	Taijuan Walker (592836)
SP	Walker Buehler	Walker Buehler (621111)
SP	Zack Greinke	Zack Greinke (425844)
RP	Anthony Bender	Anthony Bender (669622)
RP	Mark Melancon	Mark Melancon (453343)
OP	Hector Neris	Hector Neris (593576)
OP	Lucas Sims	Lucas Sims (608371)
OP	Ryan Tepera	Ryan Tepera (572193)
OP	Zach Plesac	Zach Plesac (668676)
OP	Jonathan Loaisiga	Jonathan Loaisiga (642528)
PITCH BENCH	Michael Wacha	Michael Wacha (608379)
PITCH BENCH	Luis Gil	Luis Gil (661563)
PITCH BENCH	Tylor Megill	Tylor Megill (656731)
